date,total_orders,new_orders,new_customers,total_revenue,gross_profit,COGS,tactic,state,campaign,impression,clicks,spend,attributed_revenue,channel,ROAS,CPM,CPC,CTR
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Asc,NY,Facebook - ASC - C01,124603,1888,1442.28,4706.23,Facebook,326.3048783869983,11.575002207009463,0.7639194915254237,1.5152123143102494
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Prospecting,NY,Facebook - Prospecting - C02,256350,2838,3181.96,8346.97,Facebook,262.3216508064212,12.412560951823679,1.1211980267794222,1.107080163838502
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Prospecting,NY,Facebook - Prospecting - C03,167543,2060,1186.48,2750.87,Facebook,231.85135864068505,7.081644712103759,0.5759611650485437,1.2295351044209546
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Asc,CA,Facebook - Prospecting - C04,136939,2235,1076.66,2925.58,Facebook,271.72737911689853,7.862332863537781,0.48172706935123044,1.6321135688153119
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Prospecting,NY,Facebook - ASC - C05,190797,2493,2049.84,5157.01,Facebook,251.58109901260585,10.743565150395447,0.8222382671480145,1.3066243179924213
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Asc,NY,Facebook - ASC - C06,124397,1801,1572.79,4893.58,Facebook,311.1400759160473,12.64331133387461,0.8732870627429206,1.4477841105492897
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Asc,NY,Facebook - ASC - C07,134316,1988,1040.64,2729.69,Facebook,262.3087715252152,7.747699455016529,0.5234607645875252,1.480091723994163
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Asc,CA,Facebook - Prospecting - C08,107525,1486,893.64,2245.2,Facebook,251.24211091714784,8.310997442455243,0.6013728129205922,1.3820041850732387
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Prospecting,CA,Facebook - Prospecting - C09,126087,1526,1557.18,3436.98,Facebook,220.71822140022346,12.350044017226201,1.02043250327654,1.2102754447326054
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Prospecting,CA,Facebook - ASC - C10,107346,1323,1439.2,3583.48,Facebook,248.9911061700945,13.407113446239265,1.0878306878306878,1.2324632496786094
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,CA,Google - Display - C01,73152,3250,365.01,1131.27,Google,309.92849510972303,4.989747375328084,0.11231076923076923,4.4428040244969385
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,NY,Google - Non-Branded Search - C02,339732,16199,2443.92,8742.81,Google,357.73715997250315,7.193670304828513,0.15086857213408236,4.768170204749627
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,CA,Google - Non-Branded Search - C03,161711,7573,935.27,3435.86,Google,367.36557357768345,5.783589242537614,0.12350059421629472,4.683045680256755
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,NY,Google - Non-Branded Search - C04,248831,11928,1527.23,4424.44,Google,289.7035809930397,6.137619508823257,0.12803739101274314,4.793614943475692
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,CA,Google - Non-Branded Search - C05,109972,5416,758.04,2196.81,Google,289.8013297451322,6.893027316044083,0.13996307237813885,4.9248899719928705
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Display,CA,Google - Non-Branded Search - C06,294418,1139,2621.05,3787.37,Google,144.49819728734664,8.90247878866102,2.301185250219491,0.3868649335298793
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,CA,Google - Display - C07,206052,9036,719.24,2028.47,Google,282.02964240031145,3.4905751946110692,0.07959716688800354,4.385300797856852
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,CA,Google - Display - C08,147856,6721,968.11,3605.04,Google,372.37917178832987,6.547654474623958,0.14404255319148937,4.545639000108213
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,CA,Google - Display - C09,156186,7587,1424.31,3911.18,Google,274.60173698141557,9.119319273174291,0.18773032819296165,4.857669701509739
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Non-Branded Search,NY,Google - Non-Branded Search - C10,295552,14599,907.29,3159.27,Google,348.2095030254935,3.069815125595496,0.06214740735666826,4.939570701602426
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Retargeting,CA,TikTok - Retargeting - C01,67236,1018,821.74,2232.18,TikTok,271.6406649305133,12.221726456065204,0.8072102161100196,1.5140698435362008
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Retargeting,CA,TikTok - Retargeting - C02,85543,1439,637.54,1897.52,TikTok,297.63152115945667,7.452859965163718,0.44304378040305764,1.6821949195141623
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Spark Ads,CA,TikTok - Retargeting - C03,83856,1132,776.06,1839.44,TikTok,237.02291059969593,9.254674680404502,0.6855653710247349,1.3499332188513644
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Spark Ads,CA,TikTok - Spark Ads - C04,154158,1926,780.74,2075.94,TikTok,265.89389553500524,5.0645441689694985,0.4053686396677051,1.2493675320126103
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Spark Ads,CA,TikTok - Spark Ads - C05,137410,1917,1601.41,3688.88,TikTok,230.3520022979749,11.654246415835821,0.8353729786124153,1.3950949712539118
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Retargeting,CA,TikTok - Spark Ads - C06,201146,3467,1215.7,3875.08,TikTok,318.75298182117297,6.043868632734432,0.35064897605999423,1.723623636562497
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Retargeting,CA,TikTok - Retargeting - C07,195249,3184,1527.46,4376.35,TikTok,286.51159441163765,7.823138658840762,0.47972989949748746,1.6307381855989018
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Retargeting,CA,TikTok - Spark Ads - C08,176280,2979,1460.98,4224.81,TikTok,289.17644320935267,8.287837531200363,0.49042631755622695,1.6899251191286588
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Retargeting,CA,TikTok - Spark Ads - C09,166545,2680,1605.62,4447.38,TikTok,276.98832849615724,9.640757753159805,0.5991119402985075,1.6091746975291963
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,Retargeting,CA,TikTok - Retargeting - C10,164690,2495,1569.87,4426.16,TikTok,281.944364820017,9.53227275487279,0.6292064128256513,1.5149675147246342
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Asc,NY,Facebook - ASC - C01,139596,2086,1235.47,3674.32,Facebook,297.4026079143969,8.850325224218459,0.5922674976030681,1.4943121579414882
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Prospecting,NY,Facebook - Prospecting - C02,136012,1673,1554.35,4034.35,Facebook,259.5522244024834,11.42803576155045,0.9290794979079497,1.2300385260124107
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Prospecting,NY,Facebook - Prospecting - C03,129769,1570,1423.57,3917.57,Facebook,275.19335192508976,10.970031363422697,0.906732484076433,1.209842104046421
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Asc,CA,Facebook - Prospecting - C04,182930,2567,1286.11,3202.96,Facebook,249.04246137577658,7.03061280271142,0.5010167510712894,1.4032690100038265
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Prospecting,NY,Facebook - ASC - C05,138822,1762,1644.99,3362.75,Facebook,204.4237350986936,11.849634784112029,0.9335925085130533,1.269251271412312
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Asc,NY,Facebook - ASC - C06,233465,3309,2501.39,6166.24,Facebook,246.5125390283003,10.71419698884201,0.7559353278936234,1.4173430706958217
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Asc,NY,Facebook - ASC - C07,104422,1446,674.72,2193.34,Facebook,325.0741048138487,6.461473635823869,0.46661134163208856,1.3847656624083047
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Asc,CA,Facebook - Prospecting - C08,128412,1747,1566.71,3905.03,Facebook,249.25033988421598,12.2006510294988,0.8968002289639382,1.360464754072828
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Prospecting,CA,Facebook - Prospecting - C09,313073,3555,3619.96,8472.66,Facebook,234.0539674471541,11.562670687028264,1.0182728551336147,1.1355179143522438
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Prospecting,CA,Facebook - ASC - C10,170898,2062,1703.57,3766.35,Facebook,221.08571998802512,9.968343690388417,0.8261736178467507,1.2065676602417816
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Non-Branded Search,CA,Google - Display - C01,111930,5259,1128.02,3589.82,Google,318.2408113331324,10.077905834003394,0.21449324966723712,4.698472259447869
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Non-Branded Search,NY,Google - Non-Branded Search - C02,232887,11337,714.1,2380.87,Google,333.4084862064136,3.0662939537200447,0.06298844491488048,4.868026124257687
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Non-Branded Search,CA,Google - Non-Branded Search - C03,189707,9127,1945.84,6095.28,Google,313.246721210377,10.257080655958926,0.2131960118330229,4.811103438460362
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Non-Branded Search,NY,Google - Non-Branded Search - C04,162900,6676,671.04,1977.03,Google,294.6217811158798,4.119337016574585,0.10051527860994607,4.098219766728054
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Non-Branded Search,CA,Google - Non-Branded Search - C05,250210,10508,2383.45,6665.03,Google,279.6379198221066,9.5257983294033,0.22682242101256184,4.199672275288757
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,Display,CA,Google - Non-Branded Search - C06,147855,611,1037.89,1566.73,Google,150.9533765620634,7.019647627743398,1.6986743044189854,0.4132427040005411
